Dest,DrivingMiles,EuclidMiles,Orig
SSAN,0,7.59855304176485,24TH
UCTY,0,30.37537802966038,24TH
WCRK,0,24.320759314913698,24TH
WDUB,0,31.825891892262014,24TH
WOAK,0,8.898171325633225,24TH
12TH,0,3.445831563131164,ASHB
16TH,0,12.717445327580398,ASHB
19TH,0,3.123342053478993,ASHB
24TH,0,13.603332364255992,ASHB
ASHB,0,0,ASHB
BALB,0,16.23736334264586,ASHB
BAYF,0,14.298469762082242,ASHB
CAST,0,17.144828716419696,ASHB
CIVC,0,11.668139734073591,ASHB
COLS,0,8.795470102770294,ASHB
COLM,0,19.341316138435293,ASHB
CONC,0,19.26834246529035,ASHB
DALY,0,17.851544871185073,ASHB
DBRK,0,1.1655019101097661,ASHB
DUBL,0,26.77564418322314,ASHB
DELN,0,6.078555912931739,ASHB
PLZA,0,4.235794635222788,ASHB
EMBR,0,10.353807910090364,ASHB
FRMT,0,27.06023279182957,ASHB
FTVL,0,6.727992744129889,ASHB
GLEN,0,15.187681270901974,ASHB
HAYW,0,17.11972264253876,ASHB
LAFY,0,10.928814085860498,ASHB
LAKE,0,3.9836920738309654,ASHB
MCAR,0,1.7029713103458062,ASHB
MLBR,0,26.661983367699428,ASHB
MONT,0,10.715762394277656,ASHB
NBRK,0,2.0555831732436873,ASHB
NCON,0,21.32031642280963,ASHB
ORIN,0,7.489683883903128,ASHB
PITT,0,25.787561843346346,ASHB
PHIL,0,15.813331070134481,ASHB
POWL,0,11.134695588713383,ASHB
RICH,0,8.186934025837925,ASHB
ROCK,0,3.102557169029062,ASHB
SBRN,0,23.587404445922402,ASHB
SFIA,0,25.570712082769358,ASHB
SANL,0,11.7220954949447,ASHB
SHAY,0,20.087785048852915,ASHB
SSAN,0,21.201885406020843,ASHB
UCTY,0,23.799628792396472,ASHB
WCRK,0,14.123369571349688,ASHB
WDUB,0,25.250142654998104,ASHB
WOAK,0,4.705161038622654,ASHB
12TH,0,12.79153177951449,BALB
16TH,0,3.51991801506532,BALB
19TH,0,13.114021289166464,BALB
24TH,0,2.6340309783897764,BALB
ASHB,0,16.2373633426452,BALB
BALB,0,0,BALB
BAYF,0,23.508249977735925,BALB
CAST,0,26.35460893207338,BALB
CIVC,0,4.569223608571914,BALB
COLS,0,18.005250318423975,BALB
COLM,0,3.1039527957894304,BALB
CONC,0,32.099763187244136,BALB
DALY,0,1.6141815285392123,BALB
DBRK,0,17.402865252754964,BALB
DUBL,0,35.98542439887682,BALB
DELN,0,22.315919255576937,BALB
PLZA,0,20.473157977867988,BALB
EMBR,0,5.883555432555297,BALB
FRMT,0,36.27001300748324,BALB
FTVL,0,15.937772959783572,BALB
GLEN,0,1.0496820717439208,BALB
HAYW,0,26.32950285819244,BALB
LAFY,0,23.76023480781428,BALB
LAKE,0,13.19347228948465,BALB
MCAR,0,14.534392032299587,BALB
MLBR,0,10.424620025053565,BALB
MONT,0,5.521600948367997,BALB
NBRK,0,18.292946515888886,BALB
NCON,0,34.151737144763416,BALB
ORIN,0,20.32110460585691,BALB
PITT,0,38.61898256530013,BALB
PHIL,0,28.644751792088265,BALB
POWL,0,5.102667753932121,BALB
RICH,0,24.42429736848312,BALB
ROCK,0,15.933977890982844,BALB
SBRN,0,7.3500411032765385,BALB
SFIA,0,9.333348740123492,BALB
SANL,0,20.931875710598383,BALB
