"Orig","Dest","DrivingMiles","EuclidMiles","price","TransBay"
"19TH","EMBR",0,7.23046585661137,3.3,"TRUE"
"19TH","FRMT",0,23.9368907383506,4.3,"FALSE"
"19TH","FTVL",0,3.6046506906509,1.85,"FALSE"
"19TH","GLEN",0,12.064339217423,3.85,"TRUE"
"19TH","HAYW",0,13.9963805890598,3.2,"FALSE"
"19TH","LAFY",0,10.6462135186478,2.95,"FALSE"
"19TH","LAKE",0,0.860350020351972,1.85,"FALSE"
"19TH","MCAR",0,1.42037074313312,1.85,"FALSE"
"19TH","MLBR",0,23.5386413142204,4.8,"TRUE"
"19TH","MONT",0,7.59242034079866,3.3,"TRUE"
"19TH","NBRK",0,5.17892522672242,1.9,"FALSE"
"19TH","NCON",0,21.0377158555969,4.1,"FALSE"
"19TH","ORIN",0,7.20708331669044,2.35,"FALSE"
"19TH","PHIL",0,15.5307305029218,3.55,"FALSE"
"19TH","PITT",0,25.5049612761337,4.6,"FALSE"
"19TH","PLZA",0,7.35913668870152,2.2,"FALSE"
"19TH","POWL",0,8.01135353523439,3.3,"TRUE"
"19TH","RICH",0,11.3102760793167,2.8,"FALSE"
"19TH","ROCK",0,2.81995660181638,1.85,"FALSE"
"19TH","SANL",0,8.59875344146571,2.4,"FALSE"
"19TH","SBRN",0,20.4640623924434,4.5,"TRUE"
"19TH","SFIA",0,22.4473700292904,8.95,"TRUE"
"19TH","SHAY",0,16.9644429953739,3.5,"FALSE"
"19TH","SSAN",0,18.0785433525418,4.25,"TRUE"
"19TH","UCTY",0,20.6762867389175,3.95,"FALSE"
"19TH","WCRK",0,13.840769004137,3.4,"FALSE"
"19TH","WDUB",0,22.1268006015191,4.1,"FALSE"
"19TH","WOAK",0,1.58181898514366,1.85,"FALSE"
"24TH","12TH",0,10.1575008011247,3.6,"TRUE"
"24TH","16TH",0,0.885887036675544,1.85,"FALSE"
"24TH","19TH",0,10.4799903107767,3.6,"TRUE"
"24TH","24TH",0,0,5.55,"FALSE"
"24TH","ASHB",0,13.6033323642554,3.95,"TRUE"
"24TH","BALB",0,2.63403097838987,1.85,"FALSE"
"24TH","BAYF",0,20.8742189993462,4.7,"TRUE"
"24TH","CAST",0,23.7205779536836,5,"TRUE"
"24TH","CIVC",0,1.93519263018214,1.85,"FALSE"
"24TH","COLM",0,5.7379837741793,3.25,"FALSE"
"24TH","COLS",0,15.3712193400342,4.2,"TRUE"
"24TH","CONC",0,29.4657322088544,5.75,"TRUE"
"24TH","DALY",0,4.24821250692908,2.95,"FALSE"
"24TH","DBRK",0,14.7688342743652,4.05,"TRUE"
"24TH","DELN",0,19.6818882771872,4.45,"TRUE"
"24TH","DUBL",0,33.351393420487,6.05,"TRUE"
"24TH","EMBR",0,3.24952445416552,1.85,"FALSE"
"24TH","FRMT",0,33.6359820290935,6.05,"TRUE"
"24TH","FTVL",0,13.3037419813938,4,"TRUE"
"24TH","GLEN",0,1.58434890664598,1.85,"FALSE"
"24TH","HAYW",0,23.6954718798027,5,"TRUE"
"24TH","LAFY",0,21.1262038294245,4.85,"TRUE"
"24TH","LAKE",0,10.5594413110949,3.6,"TRUE"
"24TH","MCAR",0,11.9003610539098,3.8,"TRUE"
"24TH","MLBR",0,13.0586510034434,4.4,"FALSE"
"24TH","MONT",0,2.88756996997822,1.85,"FALSE"
"24TH","NBRK",0,15.6589155374991,4.1,"TRUE"
"24TH","NCON",0,31.5177061663736,5.95,"TRUE"
"24TH","ORIN",0,17.6870736274671,4.5,"TRUE"
"24TH","PHIL",0,26.0107208136985,5.35,"TRUE"
"24TH","PITT",0,35.9849515869104,6.45,"TRUE"
"24TH","PLZA",0,17.8391269994782,4.3,"TRUE"
"24TH","POWL",0,2.46863677554234,1.85,"FALSE"
"24TH","RICH",0,21.7902663900933,4.65,"TRUE"
"24TH","ROCK",0,13.2999469125931,4,"TRUE"
"24TH","SANL",0,18.2978447322086,4.5,"TRUE"
"24TH","SBRN",0,9.98407208166641,3.9,"FALSE"
"24TH","SFIA",0,11.9673797185134,8.5,"FALSE"
"24TH","SHAY",0,26.6635342861168,5.25,"TRUE"
"24TH","SSAN",0,7.59855304176485,3.5,"FALSE"
"24TH","UCTY",0,30.3753780296604,5.75,"TRUE"
"24TH","WCRK",0,24.3207593149137,5.2,"TRUE"
"24TH","WDUB",0,31.825891892262,5.9,"TRUE"
"24TH","WOAK",0,8.89817132563322,3.4,"TRUE"
"ASHB","12TH",0,3.44583156313116,1.85,"FALSE"
"ASHB","16TH",0,12.7174453275804,3.9,"TRUE"
"ASHB","19TH",0,3.12334205347899,1.85,"FALSE"
"ASHB","24TH",0,13.603332364256,3.95,"TRUE"
"ASHB","ASHB",0,0,5.55,"FALSE"
"ASHB","BALB",0,16.2373633426459,4.2,"TRUE"
"ASHB","BAYF",0,14.2984697620822,3.15,"FALSE"
"ASHB","CAST",0,17.1448287164197,3.4,"FALSE"
"ASHB","CIVC",0,11.6681397340736,3.75,"TRUE"
"ASHB","COLM",0,19.3413161384353,4.25,"TRUE"
"ASHB","COLS",0,8.79547010277029,2.35,"FALSE"
"ASHB","CONC",0,19.2683424652903,3.9,"FALSE"
"ASHB","DALY",0,17.8515448711851,4.3,"TRUE"
"ASHB","DBRK",0,1.16550191010977,1.85,"FALSE"
"ASHB","DELN",0,6.07855591293174,1.85,"FALSE"
"ASHB","DUBL",0,26.7756441832231,4.5,"FALSE"
"ASHB","EMBR",0,10.3538079100904,3.75,"TRUE"
"ASHB","FRMT",0,27.0602327918296,4.5,"FALSE"
"ASHB","FTVL",0,6.72799274412989,2.05,"FALSE"
"ASHB","GLEN",0,15.187681270902,4.1,"TRUE"
"ASHB","HAYW",0,17.1197226425388,3.4,"FALSE"
"ASHB","LAFY",0,10.9288140858605,2.85,"FALSE"
"ASHB","LAKE",0,3.98369207383097,1.85,"FALSE"
"ASHB","MCAR",0,1.70297131034581,1.85,"FALSE"
"ASHB","MLBR",0,26.6619833676994,5,"TRUE"
"ASHB","MONT",0,10.7157623942777,3.75,"TRUE"
"ASHB","NBRK",0,2.05558317324369,1.85,"FALSE"
"ASHB","NCON",0,21.3203164228096,4.1,"FALSE"
"ASHB","ORIN",0,7.48968388390313,2.25,"FALSE"
"ASHB","PHIL",0,15.8133310701345,3.5,"FALSE"
"ASHB","PITT",0,25.7875618433463,4.6,"FALSE"
"ASHB","PLZA",0,4.23579463522279,1.85,"FALSE"
"ASHB","POWL",0,11.1346955887134,3.75,"TRUE"
"ASHB","RICH",0,8.18693402583792,1.85,"FALSE"
"ASHB","ROCK",0,3.10255716902906,1.85,"FALSE"
"ASHB","SANL",0,11.7220954949447,2.85,"FALSE"
"ASHB","SBRN",0,23.5874044459224,4.7,"TRUE"
"ASHB","SFIA",0,25.5707120827694,9.15,"TRUE"
"ASHB","SHAY",0,20.0877850488529,3.7,"FALSE"
"ASHB","SSAN",0,21.2018854060208,4.45,"TRUE"
"ASHB","UCTY",0,23.7996287923965,4.15,"FALSE"
"ASHB","WCRK",0,14.1233695713497,3.3,"FALSE"
"ASHB","WDUB",0,25.2501426549981,4.3,"FALSE"
"ASHB","WOAK",0,4.70516103862265,1.85,"FALSE"
"BALB","12TH",0,12.7915317795145,3.95,"TRUE"
"BALB","16TH",0,3.51991801506532,1.85,"FALSE"
"BALB","19TH",0,13.1140212891665,3.95,"TRUE"
"BALB","24TH",0,2.63403097838978,1.85,"FALSE"
"BALB","ASHB",0,16.2373633426452,4.2,"TRUE"
"BALB","BALB",0,0,5.55,"FALSE"
"BALB","BAYF",0,23.5082499777359,4.9,"TRUE"
"BALB","CAST",0,26.3546089320734,5.2,"TRUE"
"BALB","CIVC",0,4.56922360857191,1.9,"FALSE"
"BALB","COLM",0,3.10395279578943,3.1,"FALSE"
"BALB","COLS",0,18.005250318424,4.4,"TRUE"
"BALB","CONC",0,32.0997631872441,5.95,"TRUE"
"BALB","DALY",0,1.61418152853921,2.95,"FALSE"
"BALB","DBRK",0,17.402865252755,4.25,"TRUE"
"BALB","DELN",0,22.3159192555769,4.65,"TRUE"
"BALB","DUBL",0,35.9854243988768,6.25,"TRUE"
"BALB","EMBR",0,5.8835554325553,1.9,"FALSE"
"BALB","FRMT",0,36.2700130074832,6.3,"TRUE"
"BALB","FTVL",0,15.9377729597836,4.25,"TRUE"
"BALB","GLEN",0,1.04968207174392,1.85,"FALSE"
"BALB","HAYW",0,26.3295028581924,5.2,"TRUE"
"BALB","LAFY",0,23.7602348078143,5.1,"TRUE"
"BALB","LAKE",0,13.1934722894846,3.95,"TRUE"
"BALB","MCAR",0,14.5343920322996,4.05,"TRUE"
"BALB","MLBR",0,10.4246200250536,4.05,"FALSE"
"BALB","MONT",0,5.521600948368,1.9,"FALSE"
"BALB","NBRK",0,18.2929465158889,4.3,"TRUE"
"BALB","NCON",0,34.1517371447634,6.15,"TRUE"
"BALB","ORIN",0,20.3211046058569,4.7,"TRUE"
"BALB","PHIL",0,28.6447517920883,5.55,"TRUE"
"BALB","PITT",0,38.6189825653001,6.65,"TRUE"
"BALB","PLZA",0,20.473157977868,4.5,"TRUE"
"BALB","POWL",0,5.10266775393212,1.9,"FALSE"
"BALB","RICH",0,24.4242973684831,4.85,"TRUE"
"BALB","ROCK",0,15.9339778909828,4.2,"TRUE"
"BALB","SANL",0,20.9318757105984,4.7,"TRUE"
"BALB","SBRN",0,7.35004110327654,3.55,"FALSE"
"BALB","SFIA",0,9.33334874012349,8.1,"FALSE"
"BALB","SHAY",0,29.2975652645066,5.5,"TRUE"
"BALB","SSAN",0,4.96452206337498,3.1,"FALSE"
"BALB","UCTY",0,33.0094090080501,5.95,"TRUE"
"BALB","WCRK",0,26.9547902933035,5.45,"TRUE"
"BALB","WDUB",0,34.4599228706518,6.1,"TRUE"
"BALB","WOAK",0,11.532202304023,3.8,"TRUE"
"BAYF","12TH",0,10.8526381989511,2.75,"FALSE"
"BAYF","16TH",0,19.9883319626706,4.65,"TRUE"
"BAYF","19TH",0,11.175127708603,2.75,"FALSE"
"BAYF","24TH",0,20.8742189993462,4.7,"TRUE"
"BAYF","ASHB",0,14.2984697620818,3.15,"FALSE"
"BAYF","BALB",0,23.508249977736,4.9,"TRUE"
"BAYF","BAYF",0,0,5.55,"FALSE"
"BAYF","CAST",0,2.84635895433745,1.85,"FALSE"
"BAYF","CIVC",0,18.9390263691638,4.6,"TRUE"
"BAYF","COLM",0,26.6122027735255,5,"TRUE"
"BAYF","COLS",0,5.50299965931193,1.85,"FALSE"
"BAYF","CONC",0,30.1608696066807,4.75,"FALSE"
"BAYF","DALY",0,25.1224315062753,5.05,"TRUE"
"BAYF","DBRK",0,15.4639716721915,3.25,"FALSE"
"BAYF","DELN",0,20.3770256750135,3.6,"FALSE"
"BAYF","DUBL",0,12.4771744211409,1.85,"FALSE"
"BAYF","EMBR",0,17.6246945451806,4.6,"TRUE"
"BAYF","FRMT",0,12.7617630297473,1.85,"FALSE"
"BAYF","FTVL",0,7.5704770179522,2.35,"FALSE"
"BAYF","GLEN",0,22.4585679059922,4.85,"TRUE"
"BAYF","HAYW",0,2.82125288045652,1.85,"FALSE"
"BAYF","LAFY",0,21.8213412272508,3.9,"FALSE"
"BAYF","LAKE",0,10.3147776882512,2.75,"FALSE"
"BAYF","MCAR",0,12.5954984517361,2.95,"FALSE"
"BAYF","MLBR",0,33.9328700027896,5.75,"TRUE"
"BAYF","MONT",0,17.9866490293678,4.6,"TRUE"
"BAYF","NBRK",0,16.3540529353254,3.25,"FALSE"
"BAYF","NCON",0,32.2128435642,4.95,"FALSE"
"BAYF","ORIN",0,18.3822110252935,3.5,"FALSE"
"BAYF","PHIL",0,26.7058582115248,4.35,"FALSE"
"BAYF","PITT",0,36.6800889847367,5.45,"FALSE"
"BAYF","PLZA",0,18.5342643973046,3.45,"FALSE"
"BAYF","POWL",0,18.4055822238036,4.6,"TRUE"
"BAYF","RICH",0,22.4854037879197,3.8,"FALSE"
"BAYF","ROCK",0,13.9950843104194,3,"FALSE"
"BAYF","SANL",0,2.57637426713741,1.85,"FALSE"
"BAYF","SBRN",0,30.8582910810126,5.45,"TRUE"
"BAYF","SFIA",0,32.8415987178595,9.9,"TRUE"
"BAYF","SHAY",0,5.78931528677067,1.85,"FALSE"
"BAYF","SSAN",0,28.472772041111,5.2,"TRUE"
"BAYF","UCTY",0,9.50115903031423,1.85,"FALSE"
"BAYF","WCRK",0,25.01589671274,4.2,"FALSE"
"BAYF","WDUB",0,10.9516728929159,1.85,"FALSE"
"BAYF","WOAK",0,11.9760476737128,2.95,"FALSE"
"CAST","12TH",0,13.6989971532885,3.2,"FALSE"
"CAST","16TH",0,22.834690917008,4.95,"TRUE"
"CAST","19TH",0,14.0214866629404,3.2,"FALSE"
"CAST","24TH",0,23.7205779536836,5,"TRUE"
"CAST","ASHB",0,17.1448287164192,3.4,"FALSE"
"CAST","BALB",0,26.3546089320735,5.2,"TRUE"
"CAST","BAYF",0,2.84635895433742,1.85,"FALSE"
"CAST","CAST",0,0,5.55,"FALSE"
"CAST","CIVC",0,21.7853853235012,4.85,"TRUE"
"CAST","COLM",0,29.4585617278629,5.3,"TRUE"
"CAST","COLS",0,8.34935861364934,2.45,"FALSE"
"CAST","CONC",0,33.0072285610181,5.05,"FALSE"
"CAST","DALY",0,27.9687904606127,5.3,"TRUE"
"CAST","DBRK",0,18.3103306265289,3.5,"FALSE"
"CAST","DELN",0,23.2233846293509,3.9,"FALSE"
"CAST","DUBL",0,9.63081546680344,1.85,"FALSE"
"CAST","EMBR",0,20.471053499518,4.85,"TRUE"
"CAST","FRMT",0,15.6081219840847,3.6,"FALSE"
"CAST","FTVL",0,10.4168359722896,2.75,"FALSE"
"CAST","GLEN",0,25.3049268603296,5.15,"TRUE"
"CAST","HAYW",0,5.66761183479393,1.85,"FALSE"
"CAST","LAFY",0,24.6677001815883,4.15,"FALSE"
"CAST","LAKE",0,13.1611366425886,3.2,"FALSE"
"CAST","MCAR",0,15.4418574060736,3.3,"FALSE"
"CAST","MLBR",0,36.779228957127,6.05,"TRUE"
"CAST","MONT",0,20.8330079837053,4.85,"TRUE"
"CAST","NBRK",0,19.2004118896629,3.55,"FALSE"
"CAST","NCON",0,35.0592025185374,5.25,"FALSE"
"CAST","ORIN",0,21.2285699796309,3.8,"FALSE"
"CAST","PHIL",0,29.5522171658622,4.65,"FALSE"
"CAST","PITT",0,39.5264479390741,5.75,"FALSE"
"CAST","PLZA",0,21.380623351642,3.7,"FALSE"
"CAST","POWL",0,21.251941178141,4.85,"TRUE"
"CAST","RICH",0,25.3317627422571,4.1,"FALSE"
"CAST","ROCK",0,16.8414432647568,3.3,"FALSE"
"CAST","SANL",0,5.42273322147482,1.85,"FALSE"
"CAST","SBRN",0,33.70465003535,5.7,"TRUE"
"CAST","SFIA",0,35.687957672197,10.15,"TRUE"
"CAST","SHAY",0,8.63567424110809,2.55,"FALSE"
"CAST","SSAN",0,31.3191309954484,5.45,"TRUE"
"CAST","UCTY",0,12.3475179846516,3.2,"FALSE"
"CAST","WCRK",0,27.8622556670774,4.5,"FALSE"
"CAST","WDUB",0,8.10531393857841,1.85,"FALSE"
"CAST","WOAK",0,14.8224066280503,3.3,"FALSE"
"CIVC","12TH",0,8.22230817094258,3.3,"TRUE"
"CIVC","16TH",0,1.04930559350681,1.85,"FALSE"
"CIVC","19TH",0,8.54479768059455,3.3,"TRUE"
"CIVC","24TH",0,1.9351926301824,1.85,"FALSE"
"CIVC","ASHB",0,11.6681397340733,3.75,"TRUE"
"CIVC","BALB",0,4.56922360857227,1.9,"FALSE"
"CIVC","BAYF",0,18.939026369164,4.6,"TRUE"
"CIVC","CAST",0,21.7853853235015,4.85,"TRUE"
"CIVC","CIVC",0,0,5.55,"FALSE"
"CIVC","COLM",0,7.6731764043617,3.5,"FALSE"
"CIVC","COLS",0,13.4360267098521,4.05,"TRUE"
"CIVC","CONC",0,27.5305395786722,5.65,"TRUE"
"CIVC","DALY",0,6.18340513711148,3.15,"FALSE"
"CIVC","DBRK",0,12.8336416441831,3.9,"TRUE"
"CIVC","DELN",0,17.746695647005,4.3,"TRUE"
"CIVC","DUBL",0,31.4162007903049,5.95,"TRUE"
"CIVC","EMBR",0,1.31433182398338,1.85,"FALSE"
"CIVC","FRMT",0,31.7007893989113,5.95,"TRUE"
"CIVC","FTVL",0,11.3685493512117,3.75,"TRUE"
"CIVC","GLEN",0,3.51954153682838,1.85,"FALSE"
"CIVC","HAYW",0,21.7602792496205,4.85,"TRUE"
"CIVC","LAFY",0,19.1910111992424,4.75,"TRUE"
"CIVC","LAKE",0,8.62424868091274,3.3,"TRUE"
"CIVC","MCAR",0,9.96516842372767,3.5,"TRUE"
"CIVC","MLBR",0,14.9938436336258,4.5,"FALSE"
"CIVC","MONT",0,0.952377339796083,1.85,"FALSE"
"CIVC","NBRK",0,13.723722907317,4,"TRUE"
"CIVC","NCON",0,29.5825135361915,5.8,"TRUE"
"CIVC","ORIN",0,15.751880997285,4.4,"TRUE"
"CIVC","PHIL",0,24.0755281835164,5.25,"TRUE"
"CIVC","PITT",0,34.0497589567282,6.3,"TRUE"
"CIVC","PLZA",0,15.9039343692961,4.15,"TRUE"
"CIVC","POWL",0,0.533444145360207,1.85,"FALSE"
"CIVC","RICH",0,19.8550737599112,4.5,"TRUE"
"CIVC","ROCK",0,11.3647542824109,3.75,"TRUE"
"CIVC","SANL",0,16.3626521020265,4.35,"TRUE"
"CIVC","SBRN",0,11.9192647118488,4.15,"FALSE"
"CIVC","SFIA",0,13.9025723486958,8.65,"FALSE"
"CIVC","SHAY",0,24.7283416559347,5.15,"TRUE"
"CIVC","SSAN",0,9.53374567194725,3.8,"FALSE"
"CIVC","UCTY",0,28.4401853994782,5.6,"TRUE"
"CIVC","WCRK",0,22.3855666847316,5.1,"TRUE"
"CIVC","WDUB",0,29.8906992620799,5.75,"TRUE"
"CIVC","WOAK",0,6.96297869545109,3.1,"TRUE"
"COLM","12TH",0,15.8954845753039,4.05,"TRUE"
"COLM","16TH",0,6.62387081085472,3.35,"FALSE"
"COLM","19TH",0,16.2179740849559,4.05,"TRUE"
"COLM","24TH",0,5.73798377417917,3.25,"FALSE"
"COLM","ASHB",0,19.3413161384346,4.25,"TRUE"
"COLM","BALB",0,3.1039527957894,3.1,"FALSE"
"COLM","BAYF",0,26.6122027735253,5,"TRUE"
"COLM","CAST",0,29.4585617278628,5.3,"TRUE"
"COLM","CIVC",0,7.67317640436131,3.5,"FALSE"
"COLM","COLM",0,0,5.55,"FALSE"
"COLM","COLS",0,21.1092031142134,4.5,"TRUE"
"COLM","CONC",0,35.2037159830335,6.05,"TRUE"
"COLM","DALY",0,1.48977126725023,3.1,"FALSE"
"COLM","DBRK",0,20.5068180485444,4.35,"TRUE"
"COLM","DELN",0,25.4198720513663,4.75,"TRUE"
"COLM","DUBL",0,39.0893771946662,6.35,"TRUE"
"COLM","EMBR",0,8.9875082283447,3.5,"FALSE"
"COLM","FRMT",0,39.3739658032726,6.35,"TRUE"
"COLM","FTVL",0,19.041725755573,4.3,"TRUE"
"COLM","GLEN",0,4.15363486753332,3.1,"FALSE"
"COLM","HAYW",0,29.4334556539818,5.3,"TRUE"
"COLM","LAFY",0,26.8641876036037,5.15,"TRUE"
"COLM","LAKE",0,16.297425085274,4.05,"TRUE"
"COLM","MCAR",0,17.638344828089,4.15,"TRUE"
"COLM","MLBR",0,7.32066722926414,3.6,"FALSE"
"COLM","MONT",0,8.6255537441574,3.5,"FALSE"
"COLM","NBRK",0,21.3968993116783,4.4,"TRUE"
"COLM","NCON",0,37.2556899405528,6.25,"TRUE"
"COLM","ORIN",0,23.4250574016463,4.8,"TRUE"
"COLM","PHIL",0,31.7487045878777,5.65,"TRUE"
"COLM","PITT",0,41.7229353610895,6.75,"TRUE"
