Station Pair ID,From,To,Miles, Fare ,Self,Airport,FromBaySide,ToBaySide,TransBay,SanMateo
133,24th St.,Balboa Park,3.08,1.75,0,0,W,W,0,0
134,24th St.,Bay Fair,25.23,4.5,0,0,W,E,1,0
135,24th St.,Castro Valley,27.44,4.75,0,0,W,E,1,0
136,24th St.,Civic Center,2.43,1.75,0,0,W,W,0,0
137,24th St.,Coliseum,18.83,4,0,0,W,E,1,0
138,24th St.,Colma,6.06,3.05,0,0,W,W,0,1
139,24th St.,Concord,31.57,5.45,0,0,W,E,1,0
140,24th St.,Daly City,5.13,2.8,0,0,W,W,0,1
141,24th St.,Berkeley,14.88,3.85,0,0,W,E,1,0
142,24th St.,Dublin/Pleasanton,37.39,5.75,0,0,W,E,1,0
143,24th St.,El Cerrito del Norte,17.41,4.2,0,0,W,E,1,0
144,24th St.,El Cerrito Plaza,16.1,4.05,0,0,W,E,1,0
145,24th St.,Embarcadero,3.48,1.75,0,0,W,W,0,0
146,24th St.,Fremont,43.19,5.75,0,0,W,E,1,0
147,24th St.,Fruitvale,16.53,3.8,0,0,W,E,1,0
148,24th St.,Glen Park,1.96,1.75,0,0,W,W,0,0
149,24th St.,Hayward,27.39,4.75,0,0,W,E,1,0
150,24th St.,Lafayette,22.49,4.6,0,0,W,E,1,0
151,24th St.,Lake Merritt,14.21,3.4,0,0,W,E,1,0
152,24th St.,MacArthur,11.82,3.6,0,0,W,E,1,0
153,24th St.,Millbrae,12.37,4.15,0,0,W,W,0,1
154,24th St.,Montgomery,4.07,1.75,0,0,W,W,0,0
155,24th St.,North Berkeley,14.39,3.9,0,0,W,E,1,0
156,24th St.,North Concord,34.03,5.65,0,0,W,E,1,0
157,24th St.,Orinda,18.78,4.3,0,0,W,E,1,0
158,24th St.,Pittsburg/Bay Pt,38.52,6.15,0,0,W,E,1,0
159,24th St.,Pleasant Hill,27.36,5.1,0,0,W,E,1,0
160,24th St.,Powell,2.87,1.75,0,0,W,W,0,0
161,24th St.,Richmond,18.97,4.4,0,0,W,E,1,0
162,24th St.,Rockridge,13.55,3.75,0,0,W,E,1,0
163,24th St.,San Bruno,10.94,3.7,0,0,W,W,0,1
164,24th St.,SFIA,11.84,8.05,0,1,W,W,0,0
165,24th St.,San Leandro,21.96,4.25,0,0,W,E,1,0
166,24th St.,South Hayward,34.05,5,0,0,W,E,1,0
167,24th St.,South SF,8.04,3.35,0,0,W,W,0,1
168,24th St.,Union City,37.43,5.45,0,0,W,E,1,0
169,24th St.,Walnut Creek,25.7,4.95,0,0,W,E,1,0
170,24th St.,West Dublin,36.2,5.6,0,0,W,E,1,0
171,24th St.,West Oakland,11.66,3.25,0,0,W,E,1,0
172,Ashby,12th St.,3.94,1.75,0,0,E,E,0,0
173,Ashby,16th St.,12.67,3.7,0,0,E,W,1,0
174,Ashby,19th St.,3.41,1.75,0,0,E,E,0,0
175,Ashby,24th St.,13.81,3.75,0,0,E,W,1,0
176,Ashby,Balboa Park,16.42,3.95,0,0,E,W,1,0
177,Ashby,Bay Fair,15.78,3,0,0,E,E,0,0
178,Ashby,Castro Valley,17.99,3.25,0,0,E,E,0,0
179,Ashby,Civic Center,11.38,3.55,0,0,E,W,1,0
180,Ashby,Coliseum,10.11,2.25,0,0,E,E,0,0
181,Ashby,Colma,19.39,4.05,0,0,E,W,1,1
182,Ashby,Concord,20.2,3.7,0,0,E,E,0,0
183,Ashby,Daly City,18.46,4.05,0,0,E,W,1,1
184,Ashby,Berkeley,1.67,1.75,0,0,E,E,0,0
185,Ashby,Dublin/Pleasanton,27.94,4.25,0,0,E,E,0,0
186,Ashby,El Cerrito del Norte,7.74,1.75,0,0,E,E,0,0
187,Ashby,El Cerrito Plaza,6.43,1.75,0,0,E,E,0,0
188,Ashby,Embarcadero,10.64,3.55,0,0,E,W,1,0
189,Ashby,Fremont,31.16,4.25,0,0,E,E,0,0
190,Ashby,Fruitvale,7.81,1.95,0,0,E,E,0,0
191,Ashby,Glen Park,15.55,3.9,0,0,E,W,1,0
192,Ashby,Hayward,18.42,3.25,0,0,E,E,0,0
193,Ashby,Lafayette,11.11,2.7,0,0,E,E,0,0
194,Ashby,Lake Merritt,4.86,1.75,0,0,E,E,0,0
195,Ashby,MacArthur,1.87,1.75,0,0,E,E,0,0
196,Ashby,Millbrae,24.14,4.75,0,0,E,W,1,1
197,Ashby,Montgomery,11.12,3.55,0,0,E,W,1,0
198,Ashby,North Berkeley,2.35,1.75,0,0,E,E,0,0
199,Ashby,North Concord,22.66,3.9,0,0,E,E,0,0
200,Ashby,Orinda,7.41,2.15,0,0,E,E,0,0
201,Ashby,Pittsburg/Bay Pt,27.14,4.35,0,0,E,E,0,0
202,Ashby,Pleasant Hill,15.99,3.3,0,0,E,E,0,0
203,Ashby,Powell,11.1,3.55,0,0,E,W,1,0
204,Ashby,Richmond,9.29,1.75,0,0,E,E,0,0
205,Ashby,Rockridge,1.94,1.75,0,0,E,E,0,0
206,Ashby,San Bruno,22.71,4.45,0,0,E,W,1,1
207,Ashby,SFIA,23.61,8.7,0,1,E,W,1,0
208,Ashby,San Leandro,13.24,2.7,0,0,E,E,0,0
209,Ashby,South Hayward,22.02,3.5,0,0,E,E,0,0
210,Ashby,South SF,22.04,4.2,0,0,E,W,1,1
211,Ashby,Union City,25.4,3.95,0,0,E,E,0,0
212,Ashby,Walnut Creek,14.32,3.15,0,0,E,E,0,0
213,Ashby,West Dublin,26.75,4.1,0,0,E,E,0,0
214,Ashby,West Oakland,5.73,1.75,0,0,E,E,0,0
215,Balboa Park,12th St.,16.19,3.75,0,0,W,E,1,0
216,Balboa Park,16th St.,3.79,1.75,0,0,W,W,0,0
217,Balboa Park,19th St.,15.66,3.75,0,0,W,E,1,0
218,Balboa Park,24th St.,2.91,1.75,0,0,W,W,0,0
219,Balboa Park,Ashby,16.09,3.95,0,0,W,E,1,0
220,Balboa Park,Bay Fair,28.13,4.65,0,0,W,E,1,0
221,Balboa Park,Castro Valley,30.34,4.95,0,0,W,E,1,0
222,Balboa Park,Civic Center,6.09,1.8,0,0,W,W,0,0
223,Balboa Park,Coliseum,21.73,4.2,0,0,W,E,1,0
224,Balboa Park,Colma,3.06,2.95,0,0,W,W,0,1
225,Balboa Park,Concord,34.47,5.65,0,0,W,E,1,0
226,Balboa Park,Daly City,1.74,2.8,0,0,W,W,0,1
227,Balboa Park,Berkeley,17.78,4.05,0,0,W,E,1,0
228,Balboa Park,Dublin/Pleasanton,40.29,5.95,0,0,W,E,1,0
229,Balboa Park,El Cerrito del Norte,20.31,4.4,0,0,W,E,1,0
230,Balboa Park,El Cerrito Plaza,19,4.25,0,0,W,E,1,0
231,Balboa Park,Embarcadero,7.64,1.8,0,0,W,W,0,0
232,Balboa Park,Fremont,43.79,5.95,0,0,W,E,1,0
233,Balboa Park,Fruitvale,19.43,4,0,0,W,E,1,0
234,Balboa Park,Glen Park,1.67,1.75,0,0,W,W,0,0
235,Balboa Park,Hayward,30.29,4.95,0,0,W,E,1,0
236,Balboa Park,Lafayette,25.39,4.8,0,0,W,E,1,0
237,Balboa Park,Lake Merritt,17.11,3.75,0,0,W,E,1,0
238,Balboa Park,MacArthur,14.72,3.85,0,0,W,E,1,0
239,Balboa Park,Millbrae,12.97,3.8,0,0,W,W,0,1
240,Balboa Park,Montgomery,6.97,1.8,0,0,W,W,0,0
241,Balboa Park,North Berkeley,17.29,4.1,0,0,W,E,1,0
242,Balboa Park,North Concord,36.93,5.85,0,0,W,E,1,0
243,Balboa Park,Orinda,21.68,4.5,0,0,W,E,1,0
244,Balboa Park,Pittsburg/Bay Pt,41.42,6.3,0,0,W,E,1,0
245,Balboa Park,Pleasant Hill,30.26,5.3,0,0,W,E,1,0
246,Balboa Park,Powell,6.51,1.8,0,0,W,W,0,0
247,Balboa Park,Richmond,21.87,4.6,0,0,W,E,1,0
248,Balboa Park,Rockridge,16.45,3.95,0,0,W,E,1,0
249,Balboa Park,San Bruno,9.41,3.35,0,0,W,W,0,1
250,Balboa Park,SFIA,11.94,7.7,0,1,W,W,0,0
251,Balboa Park,San Leandro,24.86,4.45,0,0,W,E,1,0
252,Balboa Park,South Hayward,34.65,5.2,0,0,W,E,1,0
253,Balboa Park,South SF,5.03,2.95,0,0,W,W,0,1
254,Balboa Park,Union City,38.03,5.65,0,0,W,E,1,0
255,Balboa Park,Walnut Creek,28.6,5.15,0,0,W,E,1,0
256,Balboa Park,West Dublin,39.1,5.8,0,0,W,E,1,0
257,Balboa Park,West Oakland,14.56,3.6,0,0,W,E,1,0
258,Bay Fair,12th St.,12.91,2.65,0,0,E,E,0,0
259,Bay Fair,16th St.,24.7,4.45,0,0,E,W,1,0
260,Bay Fair,19th St.,13.94,2.65,0,0,E,E,0,0
261,Bay Fair,24th St.,25.84,4.5,0,0,E,W,1,0
262,Bay Fair,Ashby,15.92,3,0,0,E,E,0,0
263,Bay Fair,Balboa Park,28.45,4.65,0,0,E,W,1,0
264,Bay Fair,Castro Valley,4.5,1.75,0,0,E,E,0,0
265,Bay Fair,Civic Center,23.41,4.35,0,0,E,W,1,0
266,Bay Fair,Coliseum,7.48,1.75,0,0,E,E,0,0
267,Bay Fair,Colma,33.25,4.75,0,0,E,W,1,1
268,Bay Fair,Concord,29.91,4.55,0,0,E,E,0,0
269,Bay Fair,Daly City,30.49,4.8,0,0,E,W,1,1
270,Bay Fair,Berkeley,17.11,3.05,0,0,E,E,0,0
271,Bay Fair,Dublin/Pleasanton,14.46,1.75,0,0,E,E,0,0
272,Bay Fair,El Cerrito del Norte,22.56,3.45,0,0,E,E,0,0
273,Bay Fair,El Cerrito Plaza,21.24,3.3,0,0,E,E,0,0
274,Bay Fair,Embarcadero,22.67,4.35,0,0,E,W,1,0
275,Bay Fair,Fremont,16.98,1.75,0,0,E,E,0,0
276,Bay Fair,Fruitvale,10.29,2.2,0,0,E,E,0,0
277,Bay Fair,Glen Park,27.58,4.6,0,0,E,W,1,0
278,Bay Fair,Hayward,3.5,1.75,0,0,E,E,0,0
279,Bay Fair,Lafayette,20.83,3.7,0,0,E,E,0,0
280,Bay Fair,Lake Merritt,12.44,2.65,0,0,E,E,0,0
281,Bay Fair,MacArthur,14.68,2.8,0,0,E,E,0,0
282,Bay Fair,Millbrae,24.36,5.5,0,0,E,W,1,1
283,Bay Fair,Montgomery,23.15,4.35,0,0,E,W,1,0
284,Bay Fair,North Berkeley,19.54,3.1,0,0,E,E,0,0
285,Bay Fair,North Concord,32.38,4.7,0,0,E,E,0,0
286,Bay Fair,Orinda,17.13,3.35,0,0,E,E,0,0
287,Bay Fair,Pittsburg/Bay Pt,36.86,5.2,0,0,E,E,0,0
288,Bay Fair,Pleasant Hill,25.7,4.15,0,0,E,E,0,0
289,Bay Fair,Powell,23.14,4.35,0,0,E,W,1,0
290,Bay Fair,Richmond,24.11,3.65,0,0,E,E,0,0
291,Bay Fair,Rockridge,14.63,2.85,0,0,E,E,0,0
292,Bay Fair,San Bruno,28.16,5.2,0,0,E,W,1,1
293,Bay Fair,SFIA,28.77,9.4,0,1,E,W,1,0
294,Bay Fair,San Leandro,3.32,1.75,0,0,E,E,0,0
295,Bay Fair,South Hayward,7.84,1.75,0,0,E,E,0,0
296,Bay Fair,South SF,30.27,4.95,0,0,E,W,1,1
297,Bay Fair,Union City,11.21,1.75,0,0,E,E,0,0
298,Bay Fair,Walnut Creek,24.04,4,0,0,E,E,0,0
299,Bay Fair,West Dublin,13.27,1.75,0,0,E,E,0,0
300,Bay Fair,West Oakland,14.97,2.8,0,0,E,E,0,0
301,Castro Valley,12th St.,14.85,3.05,0,0,E,E,0,0
302,Castro Valley,16th St.,26.5,4.7,0,0,E,W,1,0
303,Castro Valley,19th St.,17.11,3.05,0,0,E,E,0,0
304,Castro Valley,24th St.,27.64,4.75,0,0,E,W,1,0
305,Castro Valley,Ashby,17.88,3.25,0,0,E,E,0,0
306,Castro Valley,Balboa Park,30.25,4.95,0,0,E,W,1,0
307,Castro Valley,Bay Fair,4.07,1.75,0,0,E,E,0,0
308,Castro Valley,Civic Center,25.21,4.6,0,0,E,W,1,0
309,Castro Valley,Coliseum,9.42,2.35,0,0,E,E,0,0
310,Castro Valley,Colma,33.22,5.05,0,0,E,W,1,1
311,Castro Valley,Concord,31.96,4.8,0,0,E,E,0,0
312,Castro Valley,Daly City,32.29,5.05,0,0,E,W,1,1
313,Castro Valley,Berkeley,19.07,3.35,0,0,E,E,0,0
314,Castro Valley,Dublin/Pleasanton,10.44,1.75,0,0,E,E,0,0
315,Castro Valley,El Cerrito del Norte,24.52,4.6,0,0,E,E,0,0
316,Castro Valley,El Cerrito Plaza,23.21,3.55,0,0,E,E,0,0
317,Castro Valley,Embarcadero,24.47,4.6,0,0,E,W,1,0
318,Castro Valley,Fremont,19.44,3.4,0,0,E,E,0,0
319,Castro Valley,Fruitvale,12.23,2.65,0,0,E,E,0,0
320,Castro Valley,Glen Park,29.38,4.85,0,0,E,W,1,0
321,Castro Valley,Hayward,1.91,1.75,0,0,E,E,0,0
322,Castro Valley,Lafayette,22.8,3.95,0,0,E,E,0,0
323,Castro Valley,Lake Merritt,14.37,3.05,0,0,E,E,0,0
324,Castro Valley,MacArthur,16.65,3.1,0,0,E,E,0,0
325,Castro Valley,Millbrae,26.83,5.75,0,0,E,W,1,1
326,Castro Valley,Montgomery,24.94,4.6,0,0,E,W,1,0
327,Castro Valley,North Berkeley,21.5,3.35,0,0,E,E,0,0
328,Castro Valley,North Concord,34.42,4.95,0,0,E,E,0,0
329,Castro Valley,Orinda,19.09,3.6,0,0,E,E,0,0
330,Castro Valley,Pittsburg/Bay Pt,38.91,5.45,0,0,E,E,0,0
331,Castro Valley,Pleasant Hill,27.75,4.4,0,0,E,E,0,0
332,Castro Valley,Powell,24.93,4.6,0,0,E,W,1,0
333,Castro Valley,Richmond,26.08,3.9,0,0,E,E,0,0
334,Castro Valley,Rockridge,16.6,3.1,0,0,E,E,0,0
335,Castro Valley,San Bruno,30.63,5.45,0,0,E,W,1,1
336,Castro Valley,SFIA,31.23,9.65,0,1,E,W,1,0
337,Castro Valley,San Leandro,7.54,1.75,0,0,E,E,0,0
338,Castro Valley,South Hayward,4.78,2.4,0,0,E,E,0,0
339,Castro Valley,South SF,32.73,5.2,0,0,E,W,1,1
340,Castro Valley,Union City,13.68,3.05,0,0,E,E,0,0
341,Castro Valley,Walnut Creek,26.07,4.25,0,0,E,E,0,0
342,Castro Valley,West Dublin,9.25,1.75,0,0,E,E,0,0
343,Castro Valley,West Oakland,16.91,3.15,0,0,E,E,0,0
344,Civic Center,12th St.,11.3,3.15,0,0,W,E,1,0
345,Civic Center,16th St.,1.35,1.75,0,0,W,W,0,0
346,Civic Center,19th St.,10.77,3.15,0,0,W,E,1,0
347,Civic Center,24th St.,2.34,1.75,0,0,W,W,0,0
348,Civic Center,Ashby,11.19,3.55,0,0,W,E,1,0
349,Civic Center,Balboa Park,6.85,1.8,0,0,W,W,0,0
350,Civic Center,Bay Fair,23.23,4.35,0,0,W,E,1,0
351,Civic Center,Castro Valley,25.44,4.6,0,0,W,E,1,0
352,Civic Center,Coliseum,16.83,3.85,0,0,W,E,1,0
353,Civic Center,Colma,9.83,3.3,0,0,W,W,0,1
354,Civic Center,Concord,29.57,5.35,0,0,W,E,1,0
355,Civic Center,Daly City,8.9,3,0,0,W,W,0,1
356,Civic Center,Berkeley,12.89,3.7,0,0,W,E,1,0
357,Civic Center,Dublin/Pleasanton,35.39,5.65,0,0,W,E,1,0
358,Civic Center,El Cerrito del Norte,15.42,4.1,0,0,W,E,1,0
359,Civic Center,El Cerrito Plaza,14.1,3.95,0,0,W,E,1,0
360,Civic Center,Embarcadero,1.18,1.75,0,0,W,W,0,0
361,Civic Center,Fremont,37.88,5.65,0,0,W,E,1,0
362,Civic Center,Fruitvale,14.54,3.55,0,0,W,E,1,0
363,Civic Center,Glen Park,5.99,1.75,0,0,W,W,0,0
364,Civic Center,Hayward,25.4,4.6,0,0,W,E,1,0
365,Civic Center,Lafayette,20.49,4.5,0,0,W,E,1,0
366,Civic Center,Lake Merritt,12.22,3.15,0,0,W,E,1,0
367,Civic Center,MacArthur,9.83,3.35,0,0,W,E,1,0
368,Civic Center,Millbrae,14.13,4.3,0,0,W,W,0,1
369,Civic Center,Montgomery,0.85,1.75,0,0,W,W,0,0
370,Civic Center,North Berkeley,12.4,3.75,0,0,W,E,1,0
371,Civic Center,North Concord,32.04,5.55,0,0,W,E,1,0
372,Civic Center,Orinda,16.78,4.15,0,0,W,E,1,0
373,Civic Center,Pittsburg/Bay Pt,36.52,6,0,0,W,E,1,0
374,Civic Center,Pleasant Hill,25.36,5,0,0,W,E,1,0
375,Civic Center,Powell,0.44,1.75,0,0,W,W,0,0
376,Civic Center,Richmond,16.97,4.3,0,0,W,E,1,0
377,Civic Center,Rockridge,11.55,3.55,0,0,W,E,1,0
378,Civic Center,San Bruno,12.7,3.95,0,0,W,W,0,1
379,Civic Center,SFIA,13.6,8.25,0,1,W,W,0,0
380,Civic Center,San Leandro,19.97,4.15,0,0,W,E,1,0
381,Civic Center,South Hayward,28.74,4.9,0,0,W,E,1,0
382,Civic Center,South SF,12.03,3.6,0,0,W,W,0,1
383,Civic Center,Union City,32.12,5.35,0,0,W,E,1,0
384,Civic Center,Walnut Creek,23.7,4.85,0,0,W,E,1,0
385,Civic Center,West Dublin,34.2,5.5,0,0,W,E,1,0
386,Civic Center,West Oakland,9.66,2.9,0,0,W,E,1,0
387,Coliseum,12th St.,6.01,1.75,0,0,E,E,0,0
388,Coliseum,16th St.,17.8,3.95,0,0,E,W,1,0
389,Coliseum,19th St.,7.04,1.75,0,0,E,E,0,0
390,Coliseum,24th St.,18.94,4,0,0,E,W,1,0
391,Coliseum,Ashby,9.95,2.25,0,0,E,E,0,0
392,Coliseum,Balboa Park,21.55,4.2,0,0,E,W,1,0
393,Coliseum,Bay Fair,8.35,1.75,0,0,E,E,0,0
394,Coliseum,Castro Valley,10.6,2.35,0,0,E,E,0,0
395,Coliseum,Civic Center,16.51,3.85,0,0,E,W,1,0
396,Coliseum,Colma,24.52,4.3,0,0,E,W,1,1
397,Coliseum,Concord,27.83,4.05,0,0,E,E,0,0
398,Coliseum,Daly City,23.59,4.3,0,0,E,W,1,1
399,Coliseum,Berkeley,11.13,2.4,0,0,E,E,0,0
400,Coliseum,Dublin/Pleasanton,20.55,3.65,0,0,E,E,0,0
401,Coliseum,El Cerrito del Norte,16.61,2.95,0,0,E,E,0,0
