From,Miles,To
COLM,0,COLM
COLM,1.91,DALY
COLM,3.65,BALB
COLM,5.32,GLEN
COLM,7.15,24TH
COLM,8.040000000000001,16TH
COLM,9.41,CIVC
COLM,9.85,POWL
COLM,10.26,MONT
COLM,10.6,EMBR
COLM,19.665,WOAK
COLM,49.91499999999999,FRMT
COLM,45.37499999999999,UCTY
COLM,40.834999999999994,SHAY
COLM,37.464999999999996,HAYW
COLM,33.324999999999996,BAYF
COLM,30.005,SANL
COLM,26.895,COLS
COLM,24.695,FTVL
COLM,21.665,LAKE
COLM,37.824999999999996,CAST
COLM,47.074999999999996,WDUB
COLM,49.455,DUBL
COLM,21.425,12TH
COLM,21.775000000000002,19TH
COLM,23.695,MCAR
COLM,25.565,ASHB
COLM,27.235,DBRK
COLM,28.365,NBRK
COLM,31.744999999999997,PLZA
COLM,34.084999999999994,DELN
COLM,36.294999999999995,RICH
COLM,25.465,ROCK
COLM,30.814999999999998,ORIN
COLM,35.324999999999996,LAFY
COLM,39.245,WCRK
COLM,41.595,PHIL
COLM,46.445,CONC
COLM,49.275,NCON
COLM,54.945,PITT
DALY,12.04,MLBR
DALY,11.309999999999999,SFIA
DALY,7.25,SBRN
DALY,3.82,SSAN
DALY,1.91,COLM
DALY,0,DALY
DALY,1.74,BALB
DALY,3.41,GLEN
DALY,5.24,24TH
DALY,6.13,16TH
DALY,7.5,CIVC
DALY,7.94,POWL
DALY,8.35,MONT
DALY,8.69,EMBR
DALY,17.755,WOAK
DALY,48.004999999999995,FRMT
DALY,43.464999999999996,UCTY
DALY,38.925,SHAY
DALY,35.555,HAYW
DALY,31.415,BAYF
DALY,28.095,SANL
DALY,24.985,COLS
DALY,22.785,FTVL
DALY,19.755,LAKE
DALY,35.915,CAST
DALY,45.165,WDUB
DALY,47.545,DUBL
DALY,19.515,12TH
DALY,19.865000000000002,19TH
DALY,21.785000000000004,MCAR
DALY,23.655000000000005,ASHB
DALY,25.325000000000003,DBRK
DALY,26.455000000000002,NBRK
DALY,29.835,PLZA
DALY,32.175,DELN
DALY,34.385,RICH
DALY,23.555000000000003,ROCK
DALY,28.905,ORIN
DALY,33.415,LAFY
DALY,37.335,WCRK
DALY,39.685,PHIL
DALY,44.535000000000004,CONC
DALY,47.365,NCON
DALY,53.035000000000004,PITT
BALB,13.780000000000001,MLBR
BALB,13.05,SFIA
BALB,8.99,SBRN
BALB,5.56,SSAN
BALB,3.65,COLM
BALB,1.74,DALY
BALB,0,BALB
BALB,1.67,GLEN
BALB,3.5,24TH
BALB,4.39,16TH
BALB,5.76,CIVC
BALB,6.2,POWL
BALB,6.61,MONT
BALB,6.95,EMBR
BALB,16.015,WOAK
BALB,46.26499999999999,FRMT
BALB,41.724999999999994,UCTY
BALB,37.184999999999995,SHAY
BALB,33.815,HAYW
BALB,29.675,BAYF
BALB,26.355,SANL
BALB,23.245,COLS
BALB,21.045,FTVL
BALB,18.015,LAKE
BALB,34.175,CAST
BALB,43.425,WDUB
BALB,45.805,DUBL
BALB,17.775000000000002,12TH
BALB,18.125000000000004,19TH
BALB,20.045,MCAR
BALB,21.915000000000003,ASHB
BALB,23.585,DBRK
BALB,24.715,NBRK
BALB,28.095,PLZA
BALB,30.435,DELN
BALB,32.644999999999996,RICH
BALB,21.815,ROCK
BALB,27.165,ORIN
BALB,31.674999999999997,LAFY
BALB,35.595,WCRK
BALB,37.945,PHIL
BALB,42.795,CONC
BALB,45.625,NCON
BALB,51.295,PITT
GLEN,15.45,MLBR
GLEN,14.719999999999999,SFIA
GLEN,10.66,SBRN
GLEN,7.23,SSAN
GLEN,5.32,COLM
GLEN,3.41,DALY
GLEN,1.67,BALB
GLEN,0,GLEN
GLEN,1.83,24TH
GLEN,2.72,16TH
GLEN,4.09,CIVC
GLEN,4.53,POWL
GLEN,4.94,MONT
GLEN,5.28,EMBR
GLEN,14.344999999999999,WOAK
GLEN,44.59499999999999,FRMT
GLEN,40.05499999999999,UCTY
GLEN,35.51499999999999,SHAY
GLEN,32.144999999999996,HAYW
GLEN,28.005,BAYF
GLEN,24.685,SANL
GLEN,21.575,COLS
GLEN,19.375,FTVL
GLEN,16.345,LAKE
GLEN,32.504999999999995,CAST
GLEN,41.754999999999995,WDUB
GLEN,44.135,DUBL
GLEN,16.105,12TH
GLEN,16.455000000000002,19TH
GLEN,18.375,MCAR
GLEN,20.245,ASHB
GLEN,21.915,DBRK
GLEN,23.044999999999998,NBRK
GLEN,26.424999999999997,PLZA
GLEN,28.764999999999997,DELN
GLEN,30.974999999999998,RICH
GLEN,20.145,ROCK
GLEN,25.494999999999997,ORIN
GLEN,30.004999999999995,LAFY
GLEN,33.925,WCRK
GLEN,36.275,PHIL
GLEN,41.125,CONC
GLEN,43.955,NCON
GLEN,49.625,PITT
24TH,17.28,MLBR
24TH,16.55,SFIA
24TH,12.49,SBRN
24TH,9.06,SSAN
24TH,7.15,COLM
24TH,5.24,DALY
24TH,3.5,BALB
24TH,1.83,GLEN
24TH,0,24TH
24TH,0.89,16TH
24TH,2.2600000000000002,CIVC
24TH,2.7,POWL
24TH,3.1100000000000003,MONT
24TH,3.45,EMBR
24TH,12.515,WOAK
24TH,42.765,FRMT
24TH,38.225,UCTY
24TH,33.685,SHAY
24TH,30.315,HAYW
24TH,26.175,BAYF
24TH,22.855,SANL
24TH,19.745,COLS
24TH,17.545,FTVL
24TH,14.515,LAKE
24TH,30.675,CAST
24TH,39.925,WDUB
24TH,42.305,DUBL
24TH,14.275,12TH
24TH,14.625,19TH
24TH,16.545,MCAR
24TH,18.415000000000003,ASHB
24TH,20.085,DBRK
24TH,21.215,NBRK
24TH,24.595,PLZA
24TH,26.935,DELN
24TH,29.145,RICH
24TH,18.315,ROCK
24TH,23.665,ORIN
24TH,28.174999999999997,LAFY
24TH,32.095,WCRK
24TH,34.445,PHIL
24TH,39.295,CONC
24TH,42.125,NCON
24TH,47.795,PITT
16TH,18.17,MLBR
16TH,17.44,SFIA
16TH,13.38,SBRN
16TH,9.950000000000001,SSAN
16TH,8.040000000000001,COLM
16TH,6.130000000000001,DALY
16TH,4.390000000000001,BALB
16TH,2.72,GLEN
16TH,0.89,24TH
16TH,0,16TH
16TH,1.37,CIVC
16TH,1.81,POWL
16TH,2.22,MONT
16TH,2.56,EMBR
16TH,11.625,WOAK
16TH,41.875,FRMT
16TH,37.335,UCTY
16TH,32.795,SHAY
16TH,29.425,HAYW
16TH,25.285,BAYF
16TH,21.965,SANL
16TH,18.855,COLS
16TH,16.655,FTVL
16TH,13.625,LAKE
16TH,29.785,CAST
16TH,39.035,WDUB
16TH,41.415,DUBL
16TH,13.385,12TH
16TH,13.735,19TH
16TH,15.655,MCAR
16TH,17.525,ASHB
16TH,19.195,DBRK
16TH,20.325,NBRK
16TH,23.705,PLZA
16TH,26.044999999999998,DELN
16TH,28.255,RICH
16TH,17.425,ROCK
16TH,22.775,ORIN
16TH,27.284999999999997,LAFY
16TH,31.205,WCRK
16TH,33.555,PHIL
16TH,38.405,CONC
16TH,41.235,NCON
16TH,46.905,PITT
CIVC,19.54,MLBR
CIVC,18.81,SFIA
CIVC,14.75,SBRN
CIVC,11.32,SSAN
CIVC,9.41,COLM
